gene_id	CT26
ENSMUSG00000000001	133.667
ENSMUSG00000000028	26.9297
ENSMUSG00000000049	0.136887
ENSMUSG00000000056	4.04688
ENSMUSG00000000058	171.877
ENSMUSG00000000078	127.457
ENSMUSG00000000085	24.7248
ENSMUSG00000000088	439.499
ENSMUSG00000000093	0.00470728
ENSMUSG00000000094	0.00582375
ENSMUSG00000000120	0.0049641
ENSMUSG00000000126	2.48411
ENSMUSG00000000127	28.3938
ENSMUSG00000000131	51.3695
ENSMUSG00000000134	30.8848
ENSMUSG00000000142	0.0868067
ENSMUSG00000000148	11.9328
ENSMUSG00000000149	75.8745
ENSMUSG00000000154	3.33429
ENSMUSG00000000167	1.64136
ENSMUSG00000000168	62.6826
ENSMUSG00000000171	135.118
ENSMUSG00000000184	102.825
ENSMUSG00000000194	15.7688
ENSMUSG00000000197	0.00939191
ENSMUSG00000000204	0.0421179
ENSMUSG00000000215	0.0531035
ENSMUSG00000000216	0.00575822
ENSMUSG00000000223	0.557012
ENSMUSG00000000244	7.51316
ENSMUSG00000000253	0.141189
ENSMUSG00000000266	10.9666
ENSMUSG00000000275	48.019
ENSMUSG00000000276	3.0106
ENSMUSG00000000278	141.697
ENSMUSG00000000282	11.7426
ENSMUSG00000000290	1.16642
ENSMUSG00000000295	48.5177
ENSMUSG00000000296	0.034255
ENSMUSG00000000301	5.09641
ENSMUSG00000000303	0.0214352
ENSMUSG00000000308	0.083607
ENSMUSG00000000317	15.9913
ENSMUSG00000000325	2.68219
ENSMUSG00000000326	68.4262
ENSMUSG00000000339	64.1453
ENSMUSG00000000340	4.49458
ENSMUSG00000000346	171.273
ENSMUSG00000000355	71.0945
ENSMUSG00000000374	22.232
ENSMUSG00000000378	51.9049
ENSMUSG00000000384	48.5449
ENSMUSG00000000385	0.0108669
ENSMUSG00000000386	4.22311
ENSMUSG00000000392	0.0548562
ENSMUSG00000000399	91.9336
ENSMUSG00000000409	0.918861
ENSMUSG00000000416	0.00401687
ENSMUSG00000000420	94.4916
ENSMUSG00000000439	17.6572
ENSMUSG00000000440	0.0404332
ENSMUSG00000000441	52.2919
ENSMUSG00000000486	0.452546
ENSMUSG00000000489	0.0234199
ENSMUSG00000000530	1.69178
ENSMUSG00000000531	8.71752
